No, Error Code, Error Message, File, LineNo, Other Error Message
1,1010,"UNI file that is associated by INF or DEC file need define the prompt and help information.",C:\ECC\Edk2R9\MdeModulePkg\MdeModulePkg.uni,1,"STR_gEfiMdeModulePkgTokenSpaceGuid_PcdSerialRegisterAccessWidth_PROMPT is missing in the MdeModulePkg.uni file."
2,1010,"UNI file that is associated by INF or DEC file need define the prompt and help information.",C:\ECC\Edk2R9\MdeModulePkg\MdeModulePkg.uni,1,"STR_gEfiMdeModulePkgTokenSpaceGuid_PcdSerialRegisterAccessWidth_HELP is missing in the MdeModulePkg.uni file."
3,1011,"Only CRLF (Carriage Return Line Feed) is allowed to line ending.",C:\ECC\Edk2R9\BpCommonPkg\Bluetooth\BluetoothBusDxe\BluetoothAttribute.c,1,"File C:\ECC\Edk2R9\BpCommonPkg\Bluetooth\BluetoothBusDxe\BluetoothAttribute.c has invalid line ending at line 317"
4,1011,"Only CRLF (Carriage Return Line Feed) is allowed to line ending.",C:\ECC\Edk2R9\BpCommonPkg\Bluetooth\BluetoothBusDxe\BluetoothAttribute.c,1,"File C:\ECC\Edk2R9\BpCommonPkg\Bluetooth\BluetoothBusDxe\BluetoothAttribute.c has invalid line ending at line 318"
5,1011,"Only CRLF (Carriage Return Line Feed) is allowed to line ending.",C:\ECC\Edk2R9\BpCommonPkg\Bluetooth\BluetoothBusDxe\BluetoothAttribute.c,1,"File C:\ECC\Edk2R9\BpCommonPkg\Bluetooth\BluetoothBusDxe\BluetoothAttribute.c has invalid line ending at line 319"
6,1011,"Only CRLF (Carriage Return Line Feed) is allowed to line ending.",C:\ECC\Edk2R9\BpCommonPkg\Bluetooth\BluetoothBusDxe\BluetoothAttribute.c,1,"File C:\ECC\Edk2R9\BpCommonPkg\Bluetooth\BluetoothBusDxe\BluetoothAttribute.c has invalid line ending at line 320"
7,1011,"Only CRLF (Carriage Return Line Feed) is allowed to line ending.",C:\ECC\Edk2R9\BpCommonPkg\Bluetooth\BluetoothBusDxe\BluetoothAttribute.c,1,"File C:\ECC\Edk2R9\BpCommonPkg\Bluetooth\BluetoothBusDxe\BluetoothAttribute.c has invalid line ending at line 495"
8,1011,"Only CRLF (Carriage Return Line Feed) is allowed to line ending.",C:\ECC\Edk2R9\BpCommonPkg\Bluetooth\BluetoothBusDxe\BluetoothAttribute.c,1,"File C:\ECC\Edk2R9\BpCommonPkg\Bluetooth\BluetoothBusDxe\BluetoothAttribute.c has invalid line ending at line 496"
9,1011,"Only CRLF (Carriage Return Line Feed) is allowed to line ending.",C:\ECC\Edk2R9\BpCommonPkg\Bluetooth\BluetoothBusDxe\BluetoothAttribute.c,1,"File C:\ECC\Edk2R9\BpCommonPkg\Bluetooth\BluetoothBusDxe\BluetoothAttribute.c has invalid line ending at line 497"
10,1011,"Only CRLF (Carriage Return Line Feed) is allowed to line ending.",C:\ECC\Edk2R9\BpCommonPkg\Bluetooth\BluetoothBusDxe\BluetoothAttribute.c,1,"File C:\ECC\Edk2R9\BpCommonPkg\Bluetooth\BluetoothBusDxe\BluetoothAttribute.c has invalid line ending at line 498"
