No, Error Code, Error Message, File, LineNo, Other Error Message
1,3002,"Non-Boolean comparisons should use a compare operator (==, !=, >, < >=, <=)",C:\work7\690948657a9640e6\Edk2ECC\UnitTestFrameworkPkg\Test\UnitTest\Sample\SampleUnitTest\SampleUnitTest.c,245,Predicate Expression: Framework 
2,3002,"Non-Boolean comparisons should use a compare operator (==, !=, >, < >=, <=)",C:\work7\690948657a9640e6\Edk2ECC\MdeModulePkg\Library\DxeResetSystemLib\UnitTest\DxeResetSystemLibUnitTest.c,295,Predicate Expression: Framework 
3,3002,"Non-Boolean comparisons should use a compare operator (==, !=, >, < >=, <=)",C:\work7\690948657a9640e6\Edk2ECC\MdePkg\Test\UnitTest\Library\BaseLib\Base64UnitTest.c,374,Predicate Expression: Fw 
4,3002,"Non-Boolean comparisons should use a compare operator (==, !=, >, < >=, <=)",C:\work7\690948657a9640e6\Edk2ECC\UnitTestFrameworkPkg\Library\UnitTestPersistenceLibSimpleFileSystem\UnitTestPersistenceLibSimpleFileSystem.c,71,Predicate Expression: TestName 
5,3002,"Non-Boolean comparisons should use a compare operator (==, !=, >, < >=, <=)",C:\work7\690948657a9640e6\Edk2ECC\UnitTestFrameworkPkg\Library\UnitTestPersistenceLibSimpleFileSystem\UnitTestPersistenceLibSimpleFileSystem.c,123,Predicate Expression: CacheFilePath 
6,3002,"Non-Boolean comparisons should use a compare operator (==, !=, >, < >=, <=)",C:\work7\690948657a9640e6\Edk2ECC\UnitTestFrameworkPkg\Library\UnitTestLib\UnitTestLib.c,559,Predicate Expression: MatchingTest 
7,3003,A comparison of any pointer to zero must be done via the NULL type,C:\work7\690948657a9640e6\Edk2ECC\UnitTestFrameworkPkg\Library\UnitTestPersistenceLibSimpleFileSystem\UnitTestPersistenceLibSimpleFileSystem.c,71,Predicate Expression: TestName 
8,3003,A comparison of any pointer to zero must be done via the NULL type,C:\work7\690948657a9640e6\Edk2ECC\UnitTestFrameworkPkg\Library\UnitTestPersistenceLibSimpleFileSystem\UnitTestPersistenceLibSimpleFileSystem.c,123,Predicate Expression: CacheFilePath 
9,3003,A comparison of any pointer to zero must be done via the NULL type,C:\work7\690948657a9640e6\Edk2ECC\UnitTestFrameworkPkg\Library\UnitTestLib\UnitTestLib.c,559,Predicate Expression: MatchingTest 
10,4002,Function header doesn't exist,C:\work7\690948657a9640e6\Edk2ECC\MdePkg\Test\UnitTest\Library\BaseSafeIntLib\TestBaseSafeIntLib.h,21,Function [TestSafeInt32ToUintn] has NO comment immediately preceding it. 
11,4002,Function header doesn't exist,C:\work7\690948657a9640e6\Edk2ECC\MdePkg\Test\UnitTest\Library\BaseSafeIntLib\TestBaseSafeIntLib.h,27,Function [TestSafeUint32ToIntn] has NO comment immediately preceding it. 
12,4002,Function header doesn't exist,C:\work7\690948657a9640e6\Edk2ECC\MdePkg\Test\UnitTest\Library\BaseSafeIntLib\TestBaseSafeIntLib.h,33,Function [TestSafeIntnToInt32] has NO comment immediately preceding it. 
13,4002,Function header doesn't exist,C:\work7\690948657a9640e6\Edk2ECC\MdePkg\Test\UnitTest\Library\BaseSafeIntLib\TestBaseSafeIntLib.h,39,Function [TestSafeIntnToUint32] has NO comment immediately preceding it. 
14,4002,Function header doesn't exist,C:\work7\690948657a9640e6\Edk2ECC\MdePkg\Test\UnitTest\Library\BaseSafeIntLib\TestBaseSafeIntLib.h,45,Function [TestSafeUintnToUint32] has NO comment immediately preceding it. 
15,4002,Function header doesn't exist,C:\work7\690948657a9640e6\Edk2ECC\MdePkg\Test\UnitTest\Library\BaseSafeIntLib\TestBaseSafeIntLib.h,51,Function [TestSafeUintnToIntn] has NO comment immediately preceding it. 
16,4002,Function header doesn't exist,C:\work7\690948657a9640e6\Edk2ECC\MdePkg\Test\UnitTest\Library\BaseSafeIntLib\TestBaseSafeIntLib.h,57,Function [TestSafeUintnToInt64] has NO comment immediately preceding it. 
