"Self Certification Test Report"
"Service\Protocol Name","Total","Failed","Passed"
"BootServicesTest\ImageServicesTest","122","0","122"
"Total service\Protocol","122","0","122"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID","Device Path","Logfile Name"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID"
"BootServicesTest\ImageServicesTest","5.1.4.6.1","0","0","A5BB81FA-1063-4358-97AF-AD57D42BF055","PASS","BS.ExitBootServices - ExitBootServices() returns EFI_INVALID_PARAMETER with invalid MapKey","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestConformance.c:994: the Status is - Invalid Parameter, expected status is Invalid Parameter","0x00010001","303ABFAB-C865-4255-86E3-6EEF175E30DD"
"BootServicesTest\ImageServicesTest","5.1.4.5.1","0","0","E2A045DA-EC4F-4B61-BB44-18ABCE4780FF","PASS","BS.Exit - Exit() returns EFI_INVALID_PARAMETER with invalid ImageHandle.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestConformance.c:733:Status - Invalid Parameter","0x00010001","DD6E776A-53A5-4A72-9EA6-FB71A7096EB5"
"BootServicesTest\ImageServicesTest","5.1.4.5.2","0","0","8300DF83-DFDC-4933-A1C1-19321F24D5F5","PASS","BS.Exit - Exit() exits an unstarted EFI application at EFI_TPL_APPLICATION.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:6376:Status - Success, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.3","0","0","FEA31754-871D-45E2-B5DC-BCBB7F991DA9","PASS","BS.Exit - Exit() exits an unstarted EFI application at EFI_TPL_CALLBACK.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:6376:Status - Success, TPL - 8","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.4","0","0","8DD098C6-9755-4B7C-BE51-BCFA15FB3413","PASS","BS.Exit - Exit() exits an unstarted EFI boot services driver at EFI_TPL_APPLICATION.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:6520:Status - Success, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.5","0","0","A557943E-7AA0-42C0-9A87-2FDE4E321DA9","PASS","BS.Exit - Exit() exits an unstarted EFI boot services driver at EFI_TPL_CALLBACK.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:6520:Status - Success, TPL - 8","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.6","0","0","7446E86B-CB74-47B1-AB9A-58376AA77ABD","PASS","BS.Exit - Exit() exits an unstarted EFI runtime services driver at EFI_TPL_APPLICATION.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:6664:Status - Success, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.7","0","0","0B8C9AC6-C469-465E-A8C6-50FAABEB862B","PASS","BS.Exit - Exit() exits an unstarted EFI runtime services driver at EFI_TPL_CALLBACK.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:6664:Status - Success, TPL - 8","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.8","0","0","BCFBDC03-1B40-4637-B29F-BB4B1C98F4C7","PASS","BS.Exit - Exit() returns EFI_INVALID_PARAMETER with started image at EFI_TPL_CALLBACK.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:6843:Status - Invalid Parameter, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.9","0","0","245F4A63-30BB-4FEB-A280-8066A7009DB8","PASS","BS.Exit - Exit() returns EFI_INVALID_PARAMETER with started image at EFI_TPL_APPLICATION.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:6843:Status - Invalid Parameter, TPL - 8","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
